date,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirdegree,winddir16point,weatherCode,weatherIconUrl,weatherDesc,precipMM,precipInches,humidity,visibilityKm,visibilityMiles,pressureMB,pressureInches,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF
2009-04-26,1200,20,68,8,13,275,W,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,0.0,37.0,10.0,6.0,1020.0,31.0,6.0,21.0,69.0,5.0,42.0,21.0,69.0,9.0,15.0,21.0,69.0
2009-04-27,0,8,46,4,7,270,W,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,72.0,10.0,6.0,1019.0,31.0,0.0,13.0,55.0,8.0,46.0,12.0,54.0,6.0,9.0,12.0,54.0
2009-04-27,1200,22,71,7,12,275,W,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,0.0,30.0,10.0,6.0,1019.0,31.0,10.0,23.0,74.0,4.0,39.0,22.0,72.0,9.0,14.0,22.0,72.0
2009-04-28,0,10,49,7,11,253,WSW,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,59.0,10.0,6.0,1019.0,31.0,35.0,10.0,50.0,3.0,37.0,9.0,48.0,14.0,23.0,9.0,48.0
2009-04-28,1200,23,73,9,14,260,W,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,0.0,27.0,10.0,6.0,1016.0,30.0,3.0,24.0,75.0,4.0,39.0,24.0,75.0,10.0,16.0,24.0,75.0
2009-04-29,0,11,51,7,11,247,WSW,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,58.0,10.0,6.0,1015.0,30.0,2.0,14.0,57.0,6.0,43.0,13.0,56.0,12.0,19.0,13.0,56.0
2009-04-29,1200,25,76,7,12,272,W,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,0.0,25.0,10.0,6.0,1012.0,30.0,3.0,25.0,77.0,5.0,40.0,26.0,79.0,8.0,13.0,25.0,77.0
2009-04-30,0,11,51,4,6,0,N,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,66.0,10.0,6.0,1010.0,30.0,17.0,12.0,54.0,6.0,43.0,12.0,53.0,8.0,14.0,12.0,53.0
2009-04-30,1200,10,50,9,14,3,N,119,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png,Cloudy,0.0,0.0,73.0,10.0,6.0,1013.0,30.0,65.0,10.0,51.0,6.0,42.0,8.0,47.0,10.0,17.0,8.0,47.0
2009-05-01,0,4,39,11,18,38,NE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,71.0,10.0,6.0,1018.0,31.0,62.0,4.0,40.0,-1.0,31.0,0.0,33.0,16.0,26.0,0.0,33.0
